district,year,avg_price_aed,transactions_count,distance_to_metro_km,nearby_schools
JVC,2021,400000,1200,8.5,3
JVC,2022,420000,1450,8.5,4
JVC,2023,480000,1800,8.5,4
JLT,2021,800000,2000,0.5,2
JLT,2022,850000,2200,0.5,2
JLT,2023,950000,2100,0.5,3
Marina,2021,1200000,3000,0.2,1
Marina,2022,1250000,3100,0.2,1
Marina,2023,1400000,3500,0.2,2
Downtown,2021,1500000,4000,0.5,3
Downtown,2022,1650000,4200,0.5,3
Downtown,2023,1850000,4500,0.5,4
Arjan,2021,350000,800,10.0,1
Arjan,2022,380000,950,10.0,2
Arjan,2023,450000,1300,10.0,2
